Order ID,Order Date,Customer Name,Category,Sub-Category,Sales,Profit,Quantity,Region,Is Repeat Customer,Order Year,Order Month,Order Month Name,Order Day of Week,Order Month-Year,Day Type
CA-2024-100684,2024-01-01,Ashley Robinson,Electronics,Laptops,981.1,164.32,1,East,No,2024,1,Jan,Monday,2024-01,Weekday
CA-2024-102186,2024-01-01,Ashley Robinson,Furniture,Chairs,489.95,33.12,1,West,Yes,2024,1,Jan,Monday,2024-01,Weekday
CA-2024-102206,2024-01-01,Karen Ramirez,Office Supplies,Storage,633.69,102.74,4,East,No,2024,1,Jan,Monday,2024-01,Weekday
CA-2024-102237,2024-01-01,Ashley Robinson,Office Supplies,Art,61.75,23.13,2,East,Yes,2024,1,Jan,Monday,2024-01,Weekday
CA-2024-100136,2024-01-02,Charles Robinson,Furniture,Chairs,300.65,33.06,1,West,No,2024,1,Jan,Tuesday,2024-01,Weekday
CA-2024-100950,2024-01-02,Ashley Robinson,Office Supplies,Binders,33.27,18.01,4,Central,Yes,2024,1,Jan,Tuesday,2024-01,Weekday
CA-2024-101293,2024-01-03,Ashley Robinson,Electronics,Phones,1753.41,178.56,2,West,Yes,2024,1,Jan,Wednesday,2024-01,Weekday
CA-2024-101698,2024-01-03,Nancy Ramirez,Furniture,Tables,761.24,-4.89,2,South,No,2024,1,Jan,Wednesday,2024-01,Weekday
CA-2024-100016,2024-01-04,John White,Office Supplies,Binders,13.05,6.6,2,West,No,2024,1,Jan,Thursday,2024-01,Weekday
CA-2024-100896,2024-01-04,Ashley Robinson,Office Supplies,Storage,834.72,196.2,4,Central,Yes,2024,1,Jan,Thursday,2024-01,Weekday
CA-2024-102211,2024-01-04,Ashley Robinson,Electronics,Laptops,1030.9,138.03,1,West,Yes,2024,1,Jan,Thursday,2024-01,Weekday
CA-2024-102985,2024-01-04,Ashley Robinson,Electronics,Laptops,1566.74,117.46,1,South,Yes,2024,1,Jan,Thursday,2024-01,Weekday
CA-2024-100309,2024-01-05,David Ramirez,Electronics,Smartwatches,666.34,116.07,5,South,No,2024,1,Jan,Friday,2024-01,Weekday
CA-2024-100454,2024-01-05,Karen Ramirez,Electronics,Phones,1474.84,157.4,5,Central,Yes,2024,1,Jan,Friday,2024-01,Weekday
CA-2024-100643,2024-01-05,Karen Ramirez,Electronics,Accessories,193.97,68.18,4,South,Yes,2024,1,Jan,Friday,2024-01,Weekday
CA-2024-102323,2024-01-05,Ashley Robinson,Electronics,Laptops,1927.64,286.18,1,West,Yes,2024,1,Jan,Friday,2024-01,Weekday
CA-2024-100938,2024-01-06,Karen Ramirez,Office Supplies,Storage,72.4,14.83,1,Central,Yes,2024,1,Jan,Saturday,2024-01,Weekend
CA-2024-101252,2024-01-06,Karen Ramirez,Electronics,Accessories,150.15,53.49,1,South,Yes,2024,1,Jan,Saturday,2024-01,Weekend
CA-2024-101383,2024-01-06,Lisa Ramirez,Furniture,Bookcases,1068.54,25.97,2,Central,No,2024,1,Jan,Saturday,2024-01,Weekend
CA-2024-100009,2024-01-07,Ashley Robinson,Office Supplies,Storage,198.54,40.36,1,East,Yes,2024,1,Jan,Sunday,2024-01,Weekend
CA-2024-100257,2024-01-07,Karen Ramirez,Office Supplies,Paper,48.91,21.42,1,South,Yes,2024,1,Jan,Sunday,2024-01,Weekend
CA-2024-100799,2024-01-07,John Martinez,Electronics,Smartwatches,226.24,48.51,1,West,No,2024,1,Jan,Sunday,2024-01,Weekend
CA-2024-102363,2024-01-07,Ashley Robinson,Office Supplies,Binders,55.55,28.38,3,East,Yes,2024,1,Jan,Sunday,2024-01,Weekend
CA-2024-102748,2024-01-07,Karen Ramirez,Office Supplies,Binders,95.72,51.65,3,South,Yes,2024,1,Jan,Sunday,2024-01,Weekend
CA-2024-102988,2024-01-07,Elizabeth Williams,Electronics,Laptops,1749.99,154.0,1,South,No,2024,1,Jan,Sunday,2024-01,Weekend
CA-2024-101110,2024-01-08,Charles Robinson,Furniture,Furnishings,89.09,23.53,2,Central,Yes,2024,1,Jan,Monday,2024-01,Weekday
CA-2024-101276,2024-01-08,Ashley Robinson,Electronics,Smartwatches,1291.65,284.99,5,West,Yes,2024,1,Jan,Monday,2024-01,Weekday
CA-2024-101498,2024-01-08,Sandra Rodriguez,Electronics,Smartwatches,285.16,60.1,1,South,No,2024,1,Jan,Monday,2024-01,Weekday
CA-2024-101879,2024-01-08,Karen Ramirez,Office Supplies,Art,39.21,15.45,1,Central,Yes,2024,1,Jan,Monday,2024-01,Weekday
CA-2024-100627,2024-01-09,Ashley Robinson,Electronics,Phones,2027.72,345.59,3,West,Yes,2024,1,Jan,Tuesday,2024-01,Weekday
CA-2024-100910,2024-01-09,Ashley Robinson,Electronics,Smartwatches,713.45,175.48,2,West,Yes,2024,1,Jan,Tuesday,2024-01,Weekday
CA-2024-102239,2024-01-09,Ashley Robinson,Office Supplies,Paper,13.39,6.29,1,South,Yes,2024,1,Jan,Tuesday,2024-01,Weekday
CA-2024-100116,2024-01-10,Karen Ramirez,Electronics,Laptops,2346.33,269.7,2,Central,Yes,2024,1,Jan,Wednesday,2024-01,Weekday
CA-2024-101673,2024-01-10,Nancy Ramirez,Furniture,Tables,1416.41,-132.72,2,Central,Yes,2024,1,Jan,Wednesday,2024-01,Weekday
CA-2024-101876,2024-01-10,Ashley Robinson,Office Supplies,Paper,24.77,10.02,1,West,Yes,2024,1,Jan,Wednesday,2024-01,Weekday
CA-2024-100056,2024-01-11,Nancy Ramirez,Office Supplies,Storage,657.16,161.27,4,East,Yes,2024,1,Jan,Thursday,2024-01,Weekday
CA-2024-100099,2024-01-11,Ashley Robinson,Office Supplies,Binders,75.5,35.08,3,West,Yes,2024,1,Jan,Thursday,2024-01,Weekday
CA-2024-101878,2024-01-11,Charles Ramirez,Office Supplies,Binders,10.92,5.64,1,South,No,2024,1,Jan,Thursday,2024-01,Weekday
CA-2024-101968,2024-01-11,Karen Ramirez,Electronics,Smartwatches,218.25,43.03,1,East,Yes,2024,1,Jan,Thursday,2024-01,Weekday
CA-2024-100106,2024-01-12,Karen Ramirez,Electronics,Phones,692.59,120.81,1,East,Yes,2024,1,Jan,Friday,2024-01,Weekday
CA-2024-100494,2024-01-12,Karen Ramirez,Office Supplies,Binders,30.16,14.87,2,South,Yes,2024,1,Jan,Friday,2024-01,Weekday
CA-2024-101079,2024-01-12,Nancy Ramirez,Furniture,Furnishings,585.26,171.41,5,West,Yes,2024,1,Jan,Friday,2024-01,Weekday
CA-2024-102405,2024-01-12,Ashley Robinson,Office Supplies,Paper,52.97,24.98,3,East,Yes,2024,1,Jan,Friday,2024-01,Weekday
CA-2024-102660,2024-01-12,Donna Smith,Electronics,Smartwatches,274.91,41.46,2,East,No,2024,1,Jan,Friday,2024-01,Weekday
CA-2024-102453,2024-01-13,Nancy Ramirez,Electronics,Smartwatches,1078.68,223.29,3,South,Yes,2024,1,Jan,Saturday,2024-01,Weekend
CA-2024-102755,2024-01-13,Kimberly Wilson,Office Supplies,Storage,125.49,20.47,1,South,No,2024,1,Jan,Saturday,2024-01,Weekend
CA-2024-100114,2024-01-14,Margaret Miller,Furniture,Tables,572.18,-34.39,2,East,No,2024,1,Jan,Sunday,2024-01,Weekend
CA-2024-101106,2024-01-14,Nancy Ramirez,Electronics,Accessories,80.34,28.31,1,Central,Yes,2024,1,Jan,Sunday,2024-01,Weekend
CA-2024-101606,2024-01-14,Donna Smith,Office Supplies,Binders,23.93,12.79,1,Central,Yes,2024,1,Jan,Sunday,2024-01,Weekend
CA-2024-102247,2024-01-14,Margaret Miller,Office Supplies,Storage,137.86,24.96,2,West,Yes,2024,1,Jan,Sunday,2024-01,Weekend
CA-2024-100010,2024-01-15,Karen Ramirez,Office Supplies,Art,6.51,2.49,1,Central,Yes,2024,1,Jan,Monday,2024-01,Weekday
